title,split_title
国家税务总局办公厅关于税务师事务所设立审批备案有关问题的通知,国家税务总局 办公厅 税务师 事务所 设立 审批 备案 通知
国家税务总局　财政部　商务部关于老长贸合同有关问题的通知,国家税务总局 　 财政部 　 商务部 老长贸 合同 通知
国家税务总局关于烟类应税消费品消费税征收管理有关问题的通知,国家税务总局 烟类 应税 消费品 消费税 征收 管理 通知
财政部关于恢复征收硫磺进口环节增值税的通知,财政部 恢复 征收 硫磺 进口 环节 增值税 通知
财政部　海关总署　国家税务总局关于公布《国有公益性收藏单位进口藏品免税暂,财政部 　 海关总署 　 国家税务总局 公布 国有 公益性 收藏 单位 进口 藏品 免税 暂
国家税务总局关于废旧物资发票抵扣增值税有关事项的公告,国家税务总局 废旧物资 发票 抵扣 增值税 事项 公告
企业发生特殊性重组并选择特殊性税务处理的，有关备案规定是什么？,企业 发生 特殊性 重组 选择 特殊性 税务 备案
国家税务总局关于中国建设银行股份有限公司转让实体类债权损失税前扣除问题的,国家税务总局 中国建设银行 股份 有限公司 转让 实体类 债权 损失 税前 扣除
财政部　国家税务总局关于同意华夏银行在财政部单独立户及纳税地点的通知,财政部 　 国家税务总局 同意 华夏银行 财政部 单独 立户 纳税 地点 通知
国家税务总局关于加强委托加工应税消费品征收管理的通知,国家税务总局 委托 加工 应税 消费品 征收 管理 通知
财政部 国家税务总局关于铁路工附业征收营业税问题的补充通知,财政部   国家税务总局 铁路 工附业 征收 营业税 补充 通知
财政部 国家税务总局关于修订《中外合作开采陆上石油资源缴纳矿区使用费暂行,财政部   国家税务总局 修订 中外合作 开采 陆上 石油资源 缴纳 矿区 使用费 暂行
国家税务总局于确认欧洲投资银行为国际金融组织的复函,国家税务总局 确认 欧洲 投资银行 国际金融组织 复函
国家税务总局关于意大利航空公司有关税收问题的通知,国家税务总局 意大利 航空公司 税收 通知
国家税务总局关于对中国科学院院士荣誉奖金征收个人所得税问题的复函,国家税务总局 中国科学院 院士 荣誉 奖金 征收 个人所得税 复函
国家税务总局关于《四川省地税局关于社会中介机构有偿服务使用票据问题的请示,国家税务总局 四川省 地税局 社会 中介机构 有偿 服务 票据 请示
财政部 国家税务总局关于酒类产品包装物押金征税问题的通知,财政部   国家税务总局 酒类 产品 包装物 押金 征税 通知
国家税务总局关于在中国境内无住所的个人缴纳所得税涉及税收协定若干问题的通,国家税务总局 中国 境内 住所 个人 缴纳 所得税 涉及 税收 协定 若干 通
财政部 国家税务总局 国家国有资产管理局关于转让国有房地产征收土地增值税,财政部   国家税务总局   国家 国有资产管理局 转让 国有 房地产 征收 土地 增值税
财政部 国家税务总局关于银行部门以超过国家利率支付给储户的揽储奖金征收个,财政部   国家税务总局 银行 部门 超过 国家 利率 支付 储户 揽 储 奖金 征收
国家税务总局关于中国铁通集团有限公司2004年度缴纳企业所得税问题的通知,国家税务总局 中国 铁通 集团 有限公司 2004 年度 缴纳 企业 所得税 通知
国家税务总局关于中国建设银行股份有限公司承继相关业务经营资格后有关税收问,国家税务总局 中国建设银行 股份 有限公司 承继 相关 业务 经营 资格 税收 问
国家税务总局关于中谷粮油集团公司缴纳企业所得税问题的通知,国家税务总局 中 谷 粮油 集团公司 缴纳 企业 所得税 通知
国家税务总局关于生产企业免抵调库有关核销问题的通知,国家税务总局 生产 企业 免抵 调库 核销 通知
国家税务总局关于对中国银行股份有限公司和中国建设银行股份有限公司缴纳企业,国家税务总局 中国银行 股份 有限公司 中国建设银行 股份 有限公司 缴纳 企业
国家税务总局关于中国大唐集团公司等五家集团公司缴纳企业所得税问题的通知,国家税务总局 中国 大唐 集团公司 五家 集团公司 缴纳 企业 所得税 通知
国家税务总局关于日本政府无偿援助贫困地区结核病防治计划项目（第三期）在华,国家税务总局 日本政府 无偿援助 贫困地区 结核病 防治 计划 项目 第三期 华
国家税务总局关于中国远洋运输（集团）总公司合并缴纳企业所得税问题的通知,国家税务总局 中国 远洋运输 集团 总公司 合并 缴纳 企业 所得税 通知
国家税务总局关于印发《集贸市场税收分类管理办法》的通知,国家税务总局 印发 集贸市场 税收 分类管理 办法 通知
国家税务总局关于中国电信集团公司和中国电信股份有限公司2004年度合并缴,国家税务总局 中国电信集团 公司 中国电信 股份 有限公司 2004 年度 合并 缴
国家税务总局关于延期缴纳税款有关问题的通知,国家税务总局 延期 缴纳 税款 通知
财政部 国家税务总局关于取消未锻轧镍出口退税的通知,财政部   国家税务总局 取消 未 锻轧 镍 出口 退税 通知
国家税务总局关于核定山西昆明烟草有限责任公司卷烟消费税计税价格的批复,国家税务总局 核定 山西 昆明 烟草 有限责任 公司 卷烟 消费税 计税 价格 批复
国家税务总局关于中国兵器工业集团公司所属企业2004年度总机构管理费扣除,国家税务总局 中国 兵器工业集团公司 所属 企业 2004 年度 总 机构 管理费 扣除
国家税务总局关于中国兵器装备集团公司所属企业2004年度总机构管理费扣除,国家税务总局 中国 兵器装备集团公司 所属 企业 2004 年度 总 机构 管理费 扣除
国家税务总局关于中国航空器材进出口集团公司所属企业2004年度总机构管理,国家税务总局 中国 航空 器材 进出口 集团公司 所属 企业 2004 年度 总 机构 管理
国家税务总局关于中国轻工业品进出口总公司所属企业2004年度总机构管理费,国家税务总局 中国 轻工业品 进出口 总公司 所属 企业 2004 年度 总 机构 管理费
国家税务总局关于中国工艺品进出口总公司所属企业2004年度总机构管理费扣,国家税务总局 中国 工艺品 进出口 总公司 所属 企业 2004 年度 总 机构 管理费 扣
财政部 国家税务总局 国家发展改革委关于暂停尿素和磷酸氢二铵出口退税的补,财政部   国家税务总局   国家 发展 改革 委 暂停 尿素 磷酸 氢二铵 出口 退税 补
财政部 国家税务总局关于税务机关代开增值税专用发票的出口货物不再实行增值,财政部   国家税务总局 税务机关 代开 增值税 专用发票 出口 货物 实行 增值
财政部 国家税务总局关于城镇房屋拆迁有关税收政策的通知,财政部   国家税务总局 城镇 房屋 拆迁 税收政策 通知
国家税务总局关于进一步规范和完善个体税收征收管理工作的意见,国家税务总局 进一步 规范 完善 个体 税收 征收 管理工作 意见
财政部 国家税务总局关于钢坯等钢铁初级产品停止执行出口退税的通知,财政部   国家税务总局 钢坯 钢铁 初级产品 停止 执行 出口 退税 通知
国家税务总局关于澳门企业在内地经营运输业务营业税问题的批复,国家税务总局 澳门 企业 内地 经营 运输 业务 营业税 批复
财政部 国家税务总局关于奥伊尔投资管理有限责任公司从事金融资产处置业务有,财政部   国家税务总局 奥 伊尔 投资 管理 有限责任 公司 金融资产 处置 业务
国家税务总局关于IC卡门票管理问题的批复,国家税务总局 IC卡 门票 管理 批复
国家税务总局关于印发税收执法责任制“两个办法”和“两个范本”的通知,国家税务总局 印发 税收 执法 责任制 两个 办法 两个 范本 通知
国家税务总局 劳动和社会保障部关于加强《再就业优惠证》管理推进再就业税收,国家税务总局   劳动和社会保障部 就业 优惠证 管理 推进 就业 税收
财政部 国家税务总局关于公路经营企业车辆通行费收入营业税政策的通知,财政部   国家税务总局 公路 经营 企业 车辆通行 费 收入 营业税 政策 通知
国家税务总局关于澳大利亚政府无偿援助职业教育与培训项目在华采购物资（第三,国家税务总局 澳大利亚政府 无偿援助 职业 教育 培训 项目 华 采购 物资 第三
国家税务总局关于中国航空工业第一集团公司所属企业2004年度总机构管理费,国家税务总局 中国航空工业第一集团公司 所属 企业 2004 年度 总 机构 管理费
国家税务总局关于万科企业股份有限公司所属企业总机构管理费税前扣除标准的通,国家税务总局 万科 企业 股份 有限公司 所属 企业 总 机构 管理费 税前 扣除 标准 通
财政部 国家税务总局关于降低钢材产品出口退税率的通知,财政部   国家税务总局 降低 钢材 产品 出口 退税率 通知
国家税务总局关于中国新兴（集团）总公司及所属机构所属企业2004年度总机,国家税务总局 中国 新兴 集团 总公司 所属 机构 所属 企业 2004 年度 总机
国家税务总局关于香江集团有限公司所属企业总机构管理费扣除标准问题的通知,国家税务总局 香江 集团 有限公司 所属 企业 总 机构 管理费 扣除 标准 通知
国家税务总局关于中国华电集团公司缴纳企业所得税问题的通知,国家税务总局 中国 华电 集团公司 缴纳 企业 所得税 通知
国家税务总局关于纳税人提供泥浆工程劳务征收流转税问题的批复,国家税务总局 纳税人 提供 泥浆 工程 劳务 征收 流转税 批复
国家税务总局关于加强机动车辆税收管理有关问题的通知,国家税务总局 机动车辆 税收管理 通知
国家税务总局关于国有土地使用权出让契税计税依据问题的批复,国家税务总局 国有土地 使用权 出让 契税 计税 批复
国家税务总局关于免征土地出让金出让国有土地使用权征收契税的批复,国家税务总局 免征 土地 出让金 出让 国有土地 使用权 征收 契税 批复
国家税务总局关于中国人寿保险股份有限公司缴纳企业所得税问题的通知,国家税务总局 中国 人寿保险 股份 有限公司 缴纳 企业 所得税 通知
国家税务总局关于中国进出口银行呆账损失税前扣除问题的通知,国家税务总局 中国进出口银行 呆账 损失 税前 扣除 通知
财政部 国家税务总局关于中国铁通集团有限公司营业税问题的通知,财政部   国家税务总局 中国 铁通 集团 有限公司 营业税 通知
国家税务总局关于增值税一般纳税人将增值税进项留抵税额抵减查补税款欠税问题,国家税务总局 增值税 纳税人 增值税 进项 留抵 税额 抵减 查补 税款 欠税
国家税务总局关于中国航空工业第一集团公司所属企业2004年度技术开发费扣,国家税务总局 中国航空工业第一集团公司 所属 企业 2004 年度 技术开发 费扣
国家税务总局关于东北证券有限责任公司等企业增加汇总纳税成员企业的通知,国家税务总局 东北 证券 有限责任 公司 企业 增加 汇总 纳税 成员 企业 通知
国家税务总局关于停止执行《金银首饰购货（加工）管理证明单》使用规定的批复,国家税务总局 停止 执行 金银 首饰 购货 加工 管理 证明单 批复
国家税务总局关于中国国电集团公司所属企业2004年度技术开发费扣除标准的,国家税务总局 中国 国电 集团公司 所属 企业 2004 年度 技术开发 费 扣除 标准
国家税务总局关于铁道部及所属企业2004年度汇总缴纳企业所得税问题的通知,国家税务总局 铁道部 所属 企业 2004 年度 汇总 缴纳 企业 所得税 通知
国家税务总局关于印发《税收管理员制度（试行）》的通知,国家税务总局 印发 税收 管理员 制度 试行 通知
国家税务总局关于印发《纳税评估管理办法（试行）》的通知,国家税务总局 印发 纳税 评估 管理 办法 试行 通知
国家税务总局关于农户手工编织的竹制和竹芒藤柳坯具征收增值税问题的批复,国家税务总局 农户 手工 编织 竹制 竹芒 藤柳坯 具 征收 增值税 批复
国家税务总局关于联合国儿童基金会无偿援助残疾儿童项目在华采购货物免征增值,国家税务总局 联合国儿童基金会 无偿援助 残疾儿童 项目 华 采购 货物 免征 增值
国家税务总局关于联合国儿童基金会无偿援助疾病控制及免疫项目在华采购货物免,国家税务总局 联合国儿童基金会 无偿援助 疾病 控制 免疫 项目 华 采购 货物 免
国家税务总局关于联合国儿童基金会无偿援助女童的优先权项目在华采购货物免征,国家税务总局 联合国儿童基金会 无偿援助 女童 优先权 项目 华 采购 货物 免征
财政机关行政处罚听证实施办法,财政 机关 行政处罚 听证 实施办法
国家税务总局关于中国航空油料集团公司和中国航空器材进出口集团公司合并缴纳,国家税务总局 中国 航空 油料 集团公司 中国 航空 器材 进出口 集团公司 合并 缴纳
国家税务总局关于诺尔起重设备（中国）有限公司有关退税问题的批复,国家税务总局 诺尔 起重 设备 中国 有限公司 退税 批复
国家税务总局关于联合国儿童基金会无偿援助基层卫生与妇幼保健项目在华采购货,国家税务总局 联合国儿童基金会 无偿援助 基层 卫生 妇幼保健 项目 华 采购 货
国家税务总局关于联合国儿童基金会无偿援助贫困地区基础教育项目在华采购货物,国家税务总局 联合国儿童基金会 无偿援助 贫困地区 基础教育 项目 华 采购 货物
国家税务总局关于中国船级社缴纳企业所得税问题的通知,国家税务总局 中国 船级社 缴纳 企业 所得税 通知
国家税务总局关于“红河”牌卷烟规格变动后管理问题的批复,国家税务总局 红河 牌 卷烟 规格 变动 管理 批复
国家税务总局关于意大利政府无偿援助青海畜牧兽医学院项目在华采购货物免征增,国家税务总局 意大利政府 无偿援助 青海 畜牧 兽医 学院 项目 华 采购 货物 免征 增
国家税务总局关于联合国儿童基金会无偿援助家庭与社区支持项目在华采购货物免,国家税务总局 联合国儿童基金会 无偿援助 家庭 社区 支持 项目 华 采购 货物 免
国家税务总局关于比利时政府无偿援助陕西社会经济综合发展项目在华采购货物（,国家税务总局 比利时政府 无偿援助 陕西 社会 经济 综合 发展 项目 华 采购 货物
国家税务总局关于中国水产（集团）总公司所属企业总机构管理费税前扣除标准的,国家税务总局 中国 水产 集团 总公司 所属 企业 总 机构 管理费 税前 扣除 标准
国家税务总局关于中国第一汽车集团公司缴纳企业所得税问题的通知,国家税务总局 中国 第一 汽车 集团公司 缴纳 企业 所得税 通知
国家税务总局关于中国电信集团公司湖北等十省（区）电信资产重组改制过程中印,国家税务总局 中国电信集团 公司 湖北 十省 区 电信 资产重组 改制 过程 中 印
国家税务总局关于浙江大学企业集团控股有限公司转让股权有关企业所得税问题的,国家税务总局 浙江大学 企业 集团 控股 有限公司 转让 股权 企业 所得税
国家税务总局关于明确中国银联股份有限公司提供跨行信息转接服务营业税纳税地,国家税务总局 中国银联 股份 有限公司 提供 跨行 信息 转接 服务 营业税 纳税
抵税财物拍卖、变卖试行办法,抵税 财物 拍卖 变卖 试行 办法
国家税务总局关于中国对外贸易运输（集团）总公司欧洲航线下线费用税前扣除问,国家税务总局 中国 对外贸易 运输 集团 总公司 欧洲 航线 下线 费用 税前 扣除 问
国家税务总局关于外商投资企业采购国产设备有关问题的批复,国家税务总局 外商投资 企业 采购 国产 设备 批复
国家税务总局关于中国中信集团公司所属企业2004年度总机构管理费税前扣除,国家税务总局 中国 中信 集团公司 所属 企业 2004 年度 总 机构 管理费 税前 扣除
国家税务总局关于发行2005年版印花税票的通知,国家税务总局 发行 2005 年版 印花税 票 通知
国家税务总局关于中国民生银行缴纳企业所得税问题的通知,国家税务总局 中国民生银行 缴纳 企业 所得税 通知
纳税担保试行办法,纳税 担保 试行 办法
国家税务总局关于深圳市太科检验有限公司主辅分离辅业改制有关企业所得税问题,国家税务总局 深圳市 太科 检验 有限公司 主辅 分离 辅业 改制 企业 所得税
财政部 国家税务总局关于中国建设银行股份有限公司有关企业所得税政策问题的,财政部   国家税务总局 中国建设银行 股份 有限公司 企业 所得税 政策
国家税务总局关于交通银行等银行缴纳企业所得税问题的通知,国家税务总局 交通银行 银行 缴纳 企业 所得税 通知
财政部 国家税务总局关于出口复合竹地板有关事宜的通知,财政部   国家税务总局 出口 复合 竹地板 事宜 通知
国家税务总局关于在中国境内无住所个人计算工资薪金所得缴纳个人所得税有关问,国家税务总局 中国 境内 住所 个人 计算 工资 薪金 所得 缴纳 个人所得税 问
国家税务总局关于中国电力投资集团公司合并缴纳企业所得税问题的通知,国家税务总局 中国 电力 投资 集团公司 合并 缴纳 企业 所得税 通知
国家税务总局关于中国水电工程顾问集团公司所属企业2005年度技术开发费扣,国家税务总局 中国 水电工程 顾问 集团公司 所属 企业 2005 年度 技术开发 费扣
国家税务总局关于中国长江航运（集团）总公司合并缴纳企业所得税问题的通知,国家税务总局 中国 长江 航运 集团 总公司 合并 缴纳 企业 所得税 通知
国家税务总局 财政部 中国人民银行关于国家税务局系统行政性收费使用财政票,国家税务总局   财政部   中国人民银行 国家税务局 系统 行政 性收费 财政 票
国家税务总局关于首钢总公司缴纳企业所得税问题的通知,国家税务总局 首钢总公司 缴纳 企业 所得税 通知
财政部 国家税务总局关于广深铁路股份有限公司办理国有土地使用权出让有关契,财政部   国家税务总局 广深铁路 股份 有限公司 办理 国有土地 使用权 出让 契
国家税务总局关于追加中国石化股份公司茂名分公司2004年石脑油调整计划的,国家税务总局 追加 中国 石化 股份公司 茂名 分公司 2004 年 石脑油 调整计划
文化部 财政部 人事部国家税务总局关于鼓励发展民营文艺表演团体的意见,文化部   财政部   人事部 国家税务总局 鼓励 发展 民营 文艺表演 团体 意见
国家税务总局关于金融机构开展个人实物黄金交易业务增值税有关问题的通知,国家税务总局 金融机构 个人 实物 黄金 交易 业务 增值税 通知
国家税务总局关于个人代销彩票所得征收个人所得税问题的批复,国家税务总局 个人 代销 彩票 所得 征收 个人所得税 批复
国家税务总局关于中国铁路物资总公司所属企业合并缴纳企业所得税问题的通知,国家税务总局 中国 铁路 物资 总公司 所属 企业 合并 缴纳 企业 所得税 通知
国家税务总局关于中国航天科工集团公司所属企业2005年度总机构管理费扣除,国家税务总局 中国航天 科工 集团公司 所属 企业 2005 年度 总 机构 管理费 扣除
国家税务总局关于中国银河证券有限责任公司等证券公司缴纳企业所得税问题的通,国家税务总局 中国 银河证券 有限责任 公司 证券公司 缴纳 企业 所得税 通
国家税务总局关于中国南方机车车辆工业集团公司合并纳税问题的通知,国家税务总局 中国 南方 机车车辆 工业 集团公司 合并 纳税 通知
财政部 国家税务总局关于中国银行资产评估增值有关企业所得税政策问题的通知,财政部   国家税务总局 中国银行 资产 评估 增值 企业 所得税 政策 通知
国家税务总局关于中国民族证券有限责任公司新增分支机构缴纳企业所得税问题的,国家税务总局 中国 民族 证券 有限责任 公司 新增 分支机构 缴纳 企业 所得税
国家税务总局关于中国中煤能源集团公司及所属企业2005年度总机构管理费扣,国家税务总局 中国 中 煤 能源 集团公司 所属 企业 2005 年度 总 机构 管理费 扣
关于《中华人民共和国刑法》有关出口退税、抵扣税款的其他发票规定的解释,中华人民共和国 刑法 出口 退税 抵扣 税款 发票 解释
国家税务总局关于印发《设有固定装置免税车辆图册（第三册）》的通知,国家税务总局 印发 设有 固定装置 免税 车辆 图册 第三册 通知
国家税务总局关于中国航空器材进出口集团公司所属企业2005年度总机构管理,国家税务总局 中国 航空 器材 进出口 集团公司 所属 企业 2005 年度 总 机构 管理
国家税务总局关于中国电子信息产业集团公司及所属企业2005年度总机构管理,国家税务总局 中国 电子 信息产业 集团公司 所属 企业 2005 年度 总 机构 管理
国家税务总局关于中国网络通信集团公司合并缴纳企业所得税问题的通知,国家税务总局 中国 网络通信 集团公司 合并 缴纳 企业 所得税 通知
国家税务总局关于中国化学工程集团公司所属企业2005年度总机构管理费扣除,国家税务总局 中国 化学工程 集团公司 所属 企业 2005 年度 总 机构 管理费 扣除
国家税务总局关于取消出口货物退（免）税清算的通知,国家税务总局 取消 出口 货物 退 免 税 清算 通知
财政部 国家税务总局关于调整天津溏沽盐场资源税税额标准的通知,财政部   国家税务总局 调整 天津 溏 沽 盐场 资源税 税额 标准 通知
国家税务总局关于出口货物退（免）税实行有关单证备案管理制度（暂行）的通知,国家税务总局 出口 货物 退 免 税 实行 单证 备案 管理制度 暂行 通知
国家税务总局关于印发《营业税纳税人纳税申报办法》的通知,国家税务总局 印发 营业税 纳税人 纳税 申报 办法 通知
财政部 国家税务总局关于调整钼矿石等品目资源税政策的通知,财政部   国家税务总局 调整 钼矿 石等 品目 资源税 政策 通知
发展改革委 财政部 商务部 国土资源部 海关总署 国家税务总局　环保总局,发展 改革 委   财政部   商务部   国土资源部   海关总署   国家税务总局 　 环保总局
国家税务总局关于联合开发房地产税有关问题的批复,国家税务总局 联合开发 房地产 税 批复
国家税务总局关于中国兵器工业集团公司2005年度所属企业技术开发费扣除标,国家税务总局 中国 兵器工业集团公司 2005 年度 所属 企业 技术开发 费 扣除 标
财政部 国家税务总局关于变性燃料乙醇定点生产企业有关税收政策问题的通知,财政部   国家税务总局 变性 燃料 乙醇 定点 生产 企业 税收政策 通知
国家税务总局关于中国石化集团销售实业公司资产租赁收入征收营业税问题的通知,国家税务总局 中国石化集团 销售 实业公司 资产 租赁 收入 征收 营业税 通知
国家税务总局关于加强含金成份产品出口退（免）税管理的通知,国家税务总局 含金 成份 产品 出口 退 免 税 管理 通知
国家税务总局关于铁道部所属企业2005年度汇总缴纳企业所得税问题的通知,国家税务总局 铁道部 所属 企业 2005 年度 汇总 缴纳 企业 所得税 通知
国家税务总局关于换发稽查部门稽查专用税务检查证的通知,国家税务总局 换发 稽查 部门 稽查 专用 税务 检查 证 通知
国家税务总局关于湛江东兴石油企业有限公司采购国产设备有关退税问题的批复,国家税务总局 湛江 东兴 石油 企业 有限公司 采购 国产 设备 退税 批复
国家税务总局关于招商银行、中国民生银行新增分支机构缴纳企业所得税问题的通,国家税务总局 招商银行 中国民生银行 新增 分支机构 缴纳 企业 所得税 通
国家税务总局关于天安保险股份有限公司等5家保险公司新增和更名分支机构缴纳,国家税务总局 天安 股份 有限公司 家 保险公司 新增 更名 分支机构 缴纳
国家税务总局关于日本国际协力银行取得的贷款利息免征企业所得税的批复,国家税务总局 日本 国际 协力 银行 贷款 利息 免征 企业 所得税 批复
财政部 国家税务总局关于中国建银投资有限责任公司有关税收政策问题的通知,财政部   国家税务总局 中国 建银 投资 有限责任 公司 税收政策 通知
中华人民共和国海关对免税商店及免税品监管办法,中华人民共和国海关 免税商店 免税品 监管 办法
国家税务总局关于中国联合通信有限公司合并缴纳企业所得税问题的通知,国家税务总局 中国 联合 通信 有限公司 合并 缴纳 企业 所得税 通知
国家税务总局关于交通部门有偿转让高速公路收费经营权征收营业税的批复,国家税务总局 交通部门 有偿转让 高速公路 收费 经营权 征收 营业税 批复
国家税务总局关于矿物质微量元素舔砖免征增值税问题的批复,国家税务总局 矿物质 微量元素 舔 砖 免征 增值税 批复
国家税务总局　铁道部关于规范铁路客运餐车发票使用管理的通知,国家税务总局 　 铁道部 规范 铁路 客运 餐车 发票 管理 通知
国家发展改革委 民航总局关于延长燃油附加执行期限的通知,国家 发展 改革 委   民航总局 延长 燃油 附加 执行 期限 通知
财政部 国家税务总局关于合格境外机构投资者营业税政策的通知,财政部   国家税务总局 合格 境外 机构 投资者 营业税 政策 通知
国家税务总局关于东莞天明电力有限公司适用企业所得税税率问题的批复,国家税务总局 东莞 天明 电力 有限公司 企业 所得税 税率 批复
国家税务总局关于印发《汽油、柴油消费税管理办法（试行）》的通知,国家税务总局 印发 汽油 柴油 消费税 管理 办法 试行 通知
国家税务总局关于进一步加强货物运输业发票审核检查工作的通知,国家税务总局 进一步 货物 运输业 发票 审核 检查 工作 通知
国家税务总局关于军队离退休干部购买经济适用房征收契税问题的批复,国家税务总局 军队 离退休 干部 购买 经济 适用房 征收 契税 批复
国家发展改革委 财政部 商务部 海关总署 税务总局关于调整成品油出口政策,国家 发展 改革 委   财政部   商务部   海关总署   税务总局 调整 成品油 出口 政策
国家税务总局关于中国重型汽车集团有限公司合并缴纳企业所得税问题的通知,国家税务总局 中国 重型汽车 集团 有限公司 合并 缴纳 企业 所得税 通知
国家税务总局 中国人民银行 教育部关于印发《教育储蓄存款利息所得免征个人,国家税务总局   中国人民银行   教育部 印发 教育 储蓄存款 利息 所得 免征 个人
中华人民共和国海关总署公告,中华人民共和国 海关总署 公告
财政部 国家税务总局关于暂停汽油、石脑油出口退税的通知,财政部   国家税务总局 暂停 汽油 石脑油 出口 退税 通知
国家税务总局关于中海石油（中国）有限公司有关国产设备税收问题的批复,国家税务总局 中海 石油 中国 有限公司 国产 设备 税收 批复
国家税务总局关于做好增值税普通发票“一窗式”票表比对准备工作的通知,国家税务总局 做好 增值税 普通发票 一 窗式 票表比 工作 通知
国家税务总局关于中国远洋运输（集团）总公司所属企业2004年度总机构管理,国家税务总局 中国 远洋运输 集团 总公司 所属 企业 2004 年度 总 机构 管理
国家税务总局关于明确北京地方特色印花税票式样的通知,国家税务总局 北京 地方 特色 印花税 票 式样 通知
国家税务总局关于中国国际图书贸易总公司广州分公司销售进口图书资料免征增值,国家税务总局 中国 国际 图书 贸易 总公司 广州 分公司 销售 进口 图书资料 免征 增值
财政部 国家税务总局关于铁合金取消出口退税的补充通知,财政部   国家税务总局 铁合金 取消 出口 退税 补充 通知
国家税务总局关于通威股份有限公司2004年度提取技术开发费税前扣除的批复,国家税务总局 通威 股份 有限公司 2004 年度 提取 技术开发 费 税前 扣除 批复
国家税务总局关于在京外国商会征免营业税的批复,国家税务总局 京 外国 商会 征免 营业税 批复
国家税务总局关于中国南方机车车辆工业集团公司所属企业2004年度技术开发,国家税务总局 中国 南方 机车车辆 工业 集团公司 所属 企业 2004 年度 技术开发
国家税务总局关于中国航空工业第二集团公司所属企业2004年度总机构管理费,国家税务总局 中国航空工业第二集团 公司 所属 企业 2004 年度 总 机构 管理费
国家税务总局关于华诚投资管理有限公司所属企业2004年度总机构管理费扣除,国家税务总局 华诚 投资 管理 有限公司 所属 企业 2004 年度 总 机构 管理费 扣除
国家税务总局关于中国中煤能源集团公司及所属企业2004年度总机构管理费扣,国家税务总局 中国 中 煤 能源 集团公司 所属 企业 2004 年度 总 机构 管理费 扣
国家税务总局关于呼和浩特市铁路局向职工销售住房征免营业税问题的批复,国家税务总局 呼和浩特市 铁路局 职工 销售 住房 征免 营业税 批复
国家税务总局关于中国中化集团公司所属企业2004年度总机构管理费扣除标准,国家税务总局 中国 中化 集团公司 所属 企业 2004 年度 总 机构 管理费 扣除 标准
国家税务总局关于果啤征收消费税的批复,国家税务总局 果 啤 征收 消费税 批复
国家税务总局关于中国建银投资责任有限公司2004年度财产损失等税前扣除项,国家税务总局 中国 建银 投资 责任 有限公司 2004 年度 财产损失 税前 扣除 项
财政部 国家税务总局关于停止执行加工出口专用钢材有关税收政策的通知,财政部   国家税务总局 停止 执行 加工出口 专用 钢材 税收政策 通知
国家税务总局关于中原证券股份有限公司缴纳企业所得税问题的通知,国家税务总局 中原 证券 股份 有限公司 缴纳 企业 所得税 通知
国家税务总局关于个人因购买和处置债权取得所得征收个人所得税问题的批复,国家税务总局 个人 因购买 处置 债权 所得 征收 个人所得税 批复
财政部 国家税务总局 中国人民银行关于股息红利个人所得税退库的补充通知,财政部   国家税务总局   中国人民银行 股息 红利 个人所得税 退库 补充 通知
财政部 国家税务总局关于中国移动通信集团公司与中国妇女发展基金会合作项目,财政部   国家税务总局 中国移动通信集团公司 中国 妇女 发展 基金会 合作项目
国家税务总局办公厅关于2005年度税务师事务所及注册税务师年检工作的通知,国家税务总局 办公厅 2005 年度 税务师 事务所 注册 税务师 年检 工作 通知
国家税务总局关于中国神华能源股份有限公司煤炭销售中心东胜结算部出口煤炭有,国家税务总局 中国 神华 能源 股份 有限公司 煤炭 销售 中心 东胜 结算 部 出口 煤炭
国家税务总局关于外国驻华使领馆及外交人员使用旧版普通发票退税问题的批复,国家税务总局 外国 驻华 使领馆 外交人员 旧版 普通发票 退税 批复
国家税务总局关于山东枣庄矿业（集团）有限责任公司收取铁路专用线费有关流转,国家税务总局 山东 枣庄 矿业 集团 有限责任 公司 收取 铁路 专用线 费 流转
国家税务总局关于广西华劲纸业集团有限公司资产评估增值有关企业所得税问题的,国家税务总局 广西 华劲 纸业 集团 有限公司 资产 评估 增值 企业 所得税
国家税务总局关于太平洋证券有限责任公司等证券公司缴纳企业所得税的通知,国家税务总局 太平洋 证券 有限责任 公司 证券公司 缴纳 企业 所得税 通知
国家税务总局 财政部 国土资源部关于加强土地税收管理的通知,国家税务总局   财政部   国土资源部 土地 税收管理 通知
国家税务总局关于昆明机场海关签发出口货物报关单有关退税问题的通知,国家税务总局 昆明机场 海关 签发 出口 货物 报关单 退税 通知
国务院关于完善中央与地方出口退税负担机制的通知,国务院 完善 中央 地方 出口 退税 负担 机制 通知
国家税务总局关于中国信达资产管理公司受让宝硕股份国有股权征免证券（股票）,国家税务总局 中国信达资产管理公司 受让 宝硕 股份 国有 股权 征免 证券 股票
国家税务总局关于海南亚洲太平洋酿酒有限公司采购国产设备税收问题的批复,国家税务总局 海南 亚洲 太平洋 酿酒 有限公司 采购 国产 设备 税收 批复
国家税务总局关于胜利油田胜利石油化工建设有限责任公司海洋工程结构物退税问,国家税务总局 胜利油田 胜利 石油化工 建设 有限责任 公司 海洋工程 结构 物 退税 问
财政部 国家税务总局关于取消未锻轧锰出口退税政策的通知,财政部   国家税务总局 取消 未 锻轧 锰 出口 退税 政策 通知
国家税务总局关于车辆购置税机构设置及有关问题的通知,国家税务总局 车辆 购置税 机构 设置 通知
